go_id,go_annotations,go_term,Definitions,Parents,Aspect,go_id_pmc,go_term_pmc,normalized_term,normalized_id,go_match,bin
GO:0005656,2,nuclear pre-replicative complex,"A protein-DNA complex assembled at eukaryotic DNA replication origins during late mitosis and G1, allowing the origin to become competent, or 'licensed', for replication. The complex normally includes the origin recognition complex (ORC), Cdc6, Cdt1 and the MiniChromosome Maintenance (Mcm2-7) proteins.",GO:0140513|GO:0036387|GO:0005654,cellular_component,3,0,nuclear pre-replicative complex,GO:0031560,0,4
GO:0032994,2,protein-lipid complex,A macromolecular complex containing separate protein and lipid molecules. Separate in this context means not covalently bound to each other.|Macromolecular complexes in which the lipid component is all covalently bound to protein are not considered protein-lipid complexes.,GO:0032991,cellular_component,23,781,protein-lipid complex,GO:0032994,1,4
GO:0070319,2,Golgi to plasma membrane transport vesicle,"A transport vesicle that mediates transport from the Golgi to the plasma membrane, and fuses with the plasma membrane to release various cargo molecules, such as proteins or hormones, by exocytosis.",GO:0070382,cellular_component,1,0,Golgi to plasma membrane transport vesicle,GO:0030140,0,4
GO:0097451,3,glial limiting end-foot,"Terminal process of astrocyte that extends to the surface of the central nervous system. Together, glial limiting end-feet form the glial limiting membrane or glia limitans.",GO:0097450,cellular_component,2,0,no appropriate match,GO:0000000,0,5
GO:0002096,2,polkadots,"A punctate, filamentous structure composed of Bcl10 that appears in the cytoplasm of T-cells shortly after T-cell receptor stimulation. Polkadots stands for Punctate Oligomeric Killing and Activating DOmains Transducing Signals.|Note that polkadots also contains some amount of MALT1. Interaction with MALT1 is required for formation of the polkadots.",GO:0032991|GO:0005737,cellular_component,0,31,no appropriate match,GO:0000000,0,5
GO:0098895,2,postsynaptic endosome membrane,The lipid bilayer surrounding a postsynaptic endosome.,GO:0010008|GO:0098845,cellular_component,0,0,postsynaptic endosome membrane,GO:0098839,0,5
GO:0070436,2,Grb2-EGFR complex,"A protein complex that contains the epidermal growth factor receptor (EGFR) and Grb2, and is involved in linking EGFR activation to the p21-Ras pathway.",GO:0098797,cellular_component,0,1,no appropriate match,GO:0000000,0,5
GO:0017054,2,negative cofactor 2 complex,"A heterodimeric protein complex that can stably associate with TATA-binding protein on promoters, thereby preventing the assembly of transcription factors TFIIA and TFIIB and leading to repression of RNA polymerase II transcription. The two subunits, NC2alpha (Drap1) and NC2beta (Dr1), dimerize through histone fold domains of the H2A/H2B type present in the amino termini.",GO:0090571,cellular_component,0,79,negative cofactor 2 complex,GO:0016592,0,5
GO:0036501,2,UFD1-NPL4 complex,"A dimeric protein complex that contains the co-factors for the ATPase VCP/p97 (Cdc48p in budding yeast). In mammals, this complex consists of UFD1L (UFD1) and NPLOC4 (NPL4). In budding yeast, the complex is a dimer of Ufd1p and Npl4p.",GO:0005737|GO:0032991,cellular_component,0,95,UFD1-NPL4 complex,GO:0034098,0,5
GO:1904974,2,heparanase complex,A protein complex which is capable of heparanase activity.|An example of this is HPSE in human (Q9Y251) in PMID:12927802 (inferred from direct assay).,GO:1902494,cellular_component,0,3,heparanase complex,GO:1990570,0,5
GO:0005893,2,interleukin-2 receptor complex,"A protein complex that binds interleukin-2; comprises alpha, beta, and gamma subunits.",GO:0098802,cellular_component,0,167,interleukin-2 receptor complex,GO:0035632,0,5
GO:0019908,3,nuclear cyclin-dependent protein kinase holoenzyme complex,Cyclin-dependent protein kinase (CDK) complex found in the nucleus.,GO:0140513|GO:0000307,cellular_component,2,8,nuclear cyclin-dependent protein kinase holoenzyme complex,GO:0000307,0,5
GO:0090536,2,NoRC complex,"An ISWI complex that contains an ATPase subunit of the ISWI family (specifically SNF2H in mammals, which contain two ISWI homologs) and a Tip5 homolog. In mammals, NoRC is involved in regulation of transcription from RNAP I and RNA polymerase III promoters.",GO:0031010,cellular_component,0,158,NoRC complex,GO:0032993,0,5
GO:0036195,3,muscle cell projection membrane,The portion of the plasma membrane surrounding a muscle cell projection.,GO:0031253|GO:0036194,cellular_component,0,0,muscle cell projection membrane,GO:0036190,0,6
GO:0120206,3,photoreceptor distal connecting cilium,"The distal region of the photoreceptor connecting cilium is structurally unique to the photoreceptor and is maintained by retina-specific protein, SPATA7, and its interacting partners RPGR and RPGRIP1. It is essential for photoreceptor sensory cilium stability.",GO:0032391|GO:0110165,cellular_component,0,0,photoreceptor distal connecting cilium,GO:1990033,0,6
GO:0036398,3,TCR signalosome,"A multi-protein complex containing at least the T-cell receptor complex and the LAT (linker for activation of T cells) scaffold protein. Also contains a variety of signaling proteins including co-receptors, kinases, phosphatases and adaptors such as CD8. Connects events on the plasma membrane to distal signaling cascades to ultimately modulate T cell biology.",GO:0032991,cellular_component,0,257,TCR signalosome,GO:0072534,0,6
GO:0032389,3,MutLalpha complex,"A heterodimer involved in the recognition of base-base and small insertion/deletion mismatches. In human the complex consists of two subunits, MLH1 and PMS2.",GO:0140513|GO:0032300,cellular_component,1,164,MutLalpha complex,GO:0032402,0,6
GO:0061474,3,phagolysosome membrane,The lipid bilayer surrounding a phagolysosome.,GO:0030670|GO:0005765|GO:0032010,cellular_component,2,142,phagolysosome membrane,GO:0034351,0,6
GO:1990351,3,transporter complex,"A protein complex facilitating transport of molecules (proteins, small molecules, nucleic acids) into, out of or within a cell, or between cells.|An example of this is GTR1 in human (UniProt symbol P11166) in PMID:15449578 (inferred from direct assay).",GO:0032991,cellular_component,33,2064,transporter complex,GO:1990351,1,6
GO:0043614,3,multi-eIF complex,"A multifactor complex composed of multiple translation initiation factors and the initiatior tRNAiMet, which is ready to bind to the small (40S) ribosome to form the 43S preinitiation complex. In S. cerevisiae, this complex is composed of eIF1, eIF2, eIF3, and eIF5.",GO:0005737|GO:1990904,cellular_component,1,1,no appropriate match,GO:0000000,0,6
GO:0043626,3,PCNA complex,"A protein complex composed of three identical PCNA monomers, each comprising two similar domains, which are joined in a head-to-tail arrangement to form a homotrimer. Forms a ring-like structure in solution, with a central hole sufficiently large to accommodate the double helix of DNA. Originally characterized as a DNA sliding clamp for replicative DNA polymerases and as an essential component of the replisome, and has also been shown to be involved in other processes including Okazaki fragment processing, DNA repair, translesion DNA synthesis, DNA methylation, chromatin remodeling and cell cycle regulation.",GO:0044796|GO:0140513,cellular_component,2,297,PCNA complex,GO:0032119,0,6
GO:0044298,3,cell body membrane,"The plasma membrane of a cell that bears surface projections such as axons, dendrites, cilia, or flagella, excluding the plasma membrane on cell projections.",GO:0005886|GO:0044297|GO:0110165,cellular_component,1,296,plasma membrane,GO:0005886,0,6
GO:1905721,3,mitotic spindle astral microtubule end,Any microtubule end that is part of a mitotic spindle astral microtubule.,GO:1990752|GO:0061673,cellular_component,0,0,mitotic spindle astral microtubule end,GO:0035613,0,6
GO:0032302,4,MutSbeta complex,"A heterodimer involved in binding to and correcting insertion/deletion mutations. In human the complex consists of two subunits, MSH2 and MSH3.",GO:0140513|GO:0032300,cellular_component,2,139,MutSbeta complex,GO:0032400,0,7
GO:0035363,4,histone locus body,"A nuclear body associated with the histone gene locus that is thought to contain all of the factors necessary for histone mRNA transcription and pre-mRNA processing. In Drosophila, U7 snRNP is located in the histone locus body rather than the distinct Cajal body.",GO:0016604,cellular_component,1,355,histone locus body,GO:0035061,0,7
GO:0005853,4,eukaryotic translation elongation factor 1 complex,"A multisubunit nucleotide exchange complex that binds GTP and aminoacyl-tRNAs, and catalyzes their codon-dependent placement at the A-site of the ribosome. In humans, the complex is composed of four subunits, alpha, beta, delta and gamma.",GO:0032991|GO:0005737,cellular_component,9,28,eukaryotic translation elongation factor 1 complex,GO:0005853,1,7
GO:0034667,4,integrin alpha3-beta1 complex,An integrin complex that comprises one alpha3 subunit and one beta1 subunit.,GO:0008305,cellular_component,0,0,integrin alpha3-beta1 complex,GO:0008306,0,7
GO:1990578,4,perinuclear endoplasmic reticulum membrane,"The membrane of the perinuclear endoplasmic reticulum, which is the portion of endoplasmic reticulum, the intracellular network of tubules and cisternae, that occurs near the nucleus.",GO:0097038|GO:0016020|GO:0031090|GO:0005789,cellular_component,1,6,perinuclear endoplasmic reticulum membrane,GO:1990578,1,7
GO:0097196,4,Shu complex,"A protein complex involved in error-free DNA post-replication repair (PRR). In Saccharomyces cerevisiae the complex contains Csm2p, Psy3p, Shu1p, and Shu2p.",GO:0032991,cellular_component,1,217,no appropriate match,GO:0000000,0,7
GO:0044614,4,nuclear pore cytoplasmic filaments,"Filamentous extensions on cytoplasmic face of the nuclear pore complex (NPC). In S. cerevisiae, Nup159p, Nup82p, and Nup42p contribute to the cytoplasmic filaments. In vertebrates, Nup358 is a major component.",GO:0005643|GO:0140513,cellular_component,2,0,nuclear pore cytoplasmic filaments,GO:0031080,0,7
GO:0070442,3,integrin alphaIIb-beta3 complex,An integrin complex that comprises one alphaIIb subunit and one beta3 subunit.,GO:0008305,cellular_component,0,2,integrin alphaIIb-beta3 complex,GO:0030175,0,7
GO:0072589,4,box H/ACA scaRNP complex,"A box H/ACA RNP complex that is located in the Cajal body of the nucleoplasm. In higher eukaryotes, box H/ACA RNP located in Cajal bodies mediate pseudouridylation of spliceosomal snRNAs.",GO:1902494|GO:0072588|GO:0015030|GO:0140513,cellular_component,0,0,box H/ACA scaRNP complex,GO:0031428,0,7
GO:0090724,4,central region of growth cone,The center of the migrating motile tip of a growing nerve cell axon or dendrite.,GO:0030426|GO:0110165,cellular_component,1,0,central region of growth cone,GO:0090724,1,7
GO:0002133,4,polycystin complex,A stable heterodimeric complex composed of polycystin-1 and polycystin-2.|Different forms of the complex differing in type of N-glycosylation of polycystin-1 can exist (endoglycosidase sensitive and endoglycosidase resistant).,GO:0032991,cellular_component,0,337,polycystin complex,GO:0034513,0,8
GO:0097268,4,cytoophidium,"A subcellular filamentary structure where CTP synthase is compartmentalized in a range of organisms including bacteria, yeast, fruit fly, rat and human.",GO:0099512,cellular_component,0,156,no appropriate match,GO:0000000,0,8
GO:0097433,5,dense body,An electron dense body which may contain granules.,GO:0005737|GO:0110165,cellular_component,2,1508,dense body,GO:0030480,0,8
GO:0071001,4,U4/U6 snRNP,"A ribonucleoprotein complex that contains the extensively base paired small nuclear RNAs U4 and U6, a heptameric ring of Sm proteins associated with U4, the Lsm2-8 heptameric ring complex associated with U6, as well as several proteins that are unique to the U4 snRNP or U6 snRNPs, some of which remain associated with the U4/U6 snRNA both while the U4 snRNP is free or assembled into a series of spliceosomal complexes.",GO:0097525,cellular_component,0,521,U4/U6 snRNP,GO:0005687,0,8
GO:0043219,4,lateral loop,"Non-compact myelin located adjacent to the nodes of Ranvier in a myelin segment. These non-compact regions include cytoplasm from the cell responsible for synthesizing the myelin. Lateral loops are found in the paranodal region adjacent to the nodes of Ranvier, while Schmidt-Lantermann clefts are analogous structures found within the compact myelin internode.",GO:0043209|GO:0110165,cellular_component,0,255,no appropriate match,GO:0000000,0,8
GO:0070418,5,DNA-dependent protein kinase complex,"A protein complex that is involved in the repair of DNA double-strand breaks and, in mammals, V(D)J recombination events. It consists of the DNA-dependent protein kinase catalytic subunit (DNA-PKcs) and the DNA end-binding heterodimer Ku.",GO:1902554|GO:0140513,cellular_component,1,233,DNA-dependent protein kinase complex,GO:0005675,0,8
GO:0098560,5,cytoplasmic side of late endosome membrane,"The side (leaflet) of the late endosome membrane that faces the cytoplasm.|In GO, 'external side' still refers to part of the membrane and does not refer to components beyond (outside of) the membrane.",GO:0010009|GO:0031902,cellular_component,2,0,cytoplasmic side of late endosome membrane,GO:0035803,0,8
GO:0034657,5,GID complex,"A protein complex with ubiquitin ligase activity that, in Saccharomyces cerevisiae, is involved in proteasomal degradation of fructose-1,6-bisphosphatase (FBPase) and phosphoenolpyruvate carboxykinase during the transition from gluconeogenic to glycolytic growth conditions. It appears to play a broader role in cellular homeostasis and development in other species.",GO:0000151,cellular_component,1,148,GID complex,GO:0036464,0,8
GO:0005586,5,collagen type III trimer,A collagen homotrimer of alpha1(III) chains; type III collagen triple helices associate to form fibrils.,GO:0005583,cellular_component,4,0,collagen type III trimer,GO:0033187,0,8
GO:0070557,5,PCNA-p21 complex,A protein complex that contains the cyclin-dependent protein kinase inhibitor p21WAF1/CIP1 bound to PCNA; formation of the complex inhibits DNA replication.,GO:0140513,cellular_component,4,8,no appropriate match,GO:0000000,0,8
GO:0070461,6,SAGA-type complex,"A histone acetyltransferase complex that acetylates nucleosomal histones H2B, H3, or H4 and is required for the expression of a subset of Pol II-transcribed genes. This complex includes the acetyltransferases GCN5/KAT2A or PCAF/KAT2B, several proteins of the ADA, SGF and SPT families, and several TBP-associate proteins (TAFs).",GO:0000123,cellular_component,4,0,SAGA-type complex,GO:0000124,0,9
GO:0046581,6,intercellular canaliculus,An extremely narrow tubular channel located between adjacent cells. An instance of this is the secretory canaliculi occurring between adjacent parietal cells in the gastric mucosa of vertebrates.,GO:0005911,cellular_component,1,38,intercellular canaliculus,GO:0046581,1,9
GO:0030131,6,clathrin adaptor complex,A membrane coat adaptor complex that links clathrin to a membrane.,GO:0030119|GO:0030118,cellular_component,13,1324,clathrin adaptor complex,GO:0030131,1,9
GO:0043259,5,laminin-10 complex,"A laminin complex composed of alpha5, beta1 and gamma1 polypeptide chains.",GO:0043256,cellular_component,1,0,laminin-10 complex,GO:0043251,0,9
GO:0098944,5,postsynaptic recycling endosome membrane,The lipid bilayer surrounding a postsynaptic recycling endosome.,GO:0098895|GO:0098837,cellular_component,0,0,postsynaptic recycling endosome membrane,GO:0098834,0,9
GO:0071755,6,IgM B cell receptor complex,"An IgM immunoglobulin complex that is present in the plasma membrane of B cells and is composed of two identical immunoglobulin heavy chains of the IgM isotype and two identical immunoglobulin light chains and a signaling subunit, a heterodimer of the Ig-alpha and Ig-beta proteins.|Note that an IgM immunoglobulin complex has the function of antigen binding if a suitable antigen is available.",GO:0019815|GO:0071753,cellular_component,0,3,IgM B cell receptor complex,GO:0034508,0,9
GO:0000808,6,origin recognition complex,A multisubunit complex that is located at the replication origins of a chromosome.,GO:0032991|GO:0005694,cellular_component,9,4894,origin recognition complex,GO:0005675,0,9
GO:0071738,6,IgD immunoglobulin complex,"A protein complex composed of two identical immunoglobulin heavy chains of the IgD isotype and two identical immunoglobulin light chains, held together by disulfide bonds. An IgD immunoglobulin complex may be embedded in the plasma membrane or present in the extracellular space, in mucosal areas or other tissues, or circulating in the blood or lymph.|Note that an IgD immunoglobulin complex has the function of antigen binding if a suitable antigen is available.",GO:0019814,cellular_component,0,0,IgD immunoglobulin complex,GO:0071748,0,9
GO:0140552,6,TEAD-YAP complex,A transcription factor complex that is composed of the one DNA binding protein of the TEAD family and the transcriptional coactivator YAP.,GO:0090575,cellular_component,1,825,no appropriate match,GO:0000000,0,9
GO:0034685,5,integrin alphav-beta6 complex,An integrin complex that comprises one alphav subunit and one beta6 subunit.,GO:0008305,cellular_component,0,0,integrin alphav-beta6 complex,GO:0035803,0,9
GO:0097226,6,sperm mitochondrial sheath,The tightly packed helical sheath of ATP-producing mitochondria restricted to the midpiece of the sperm flagellum.,GO:0097225|GO:0110165,cellular_component,0,67,no appropriate match,GO:0000000,0,10
GO:0017071,6,intracellular cyclic nucleotide activated cation channel complex,A protein complex that forms a transmembrane channel through which cations ions may pass in response to an intracellular cyclic nucleotide binding to the channel complex or one of its constituent parts.,GO:0034703,cellular_component,1,4,intracellular cyclic nucleotide activated cation channel complex,GO:0099054,0,10
GO:0106139,7,symbiont cell surface,"The cell surface of a secondary, endosymbiont organism with which the first organism is interacting. The symbiont is defined as the smaller of the organisms involved in a symbiotic interaction.",GO:0044217,cellular_component,0,3,symbiont cell surface,GO:0044218,0,10
GO:1990617,6,CHOP-ATF4 complex,"A heterodimeric transcription factor complex that is composed of CHOP (C/EBP homology protein, GADD153) and ATF4 (activating transcription factor 4, also known as cAMP response element binding protein-2/CREB-2) subunits.",GO:0090575,cellular_component,0,0,no appropriate match,GO:0000000,0,10
GO:0001739,6,sex chromatin,Chromatin that is part of a sex chromosome.,GO:0000803|GO:0000792,cellular_component,0,1854,no appropriate match,GO:0000000,0,10
GO:0140494,6,migrasome,A vesicular organelle that forms on retraction fibers behind migrating cells and mediates the release of cytoplasmic contents during cell migration.,GO:0043231,cellular_component,0,364,migrasome,GO:0140597,0,10
GO:0099617,7,matrix side of mitochondrial inner membrane,The side (leaflet) of the mitochondrial inner membrane that faces the matrix.,GO:0005743|GO:0098576,cellular_component,0,0,matrix side of mitochondrial inner membrane,GO:0098560,0,10
GO:0051286,7,cell tip,"The region at the end of the longest axis of a cylindrical or elongated cell.|Note that this term differs from 'cell pole ; GO:0060187' in that it is applicable to the thin ends of elongated cells, such as the ends of axons or dendrites.",GO:0060187,cellular_component,3,1037,cell tip,GO:0051286,1,10
GO:0098830,7,presynaptic endosome,"An endosome present in the presynapse that fuses with endocytic vesicles arising in the presynaptic endocytic zone. This organelle is believed to be involved in regeneration of synaptic vesicles.|As of 2015, there is still controversy over the nature of presynaptic endosomes and their relationship to regular endosomes. See Jahne et al., 2015 (PMID:25939282) for details.",GO:0098793|GO:0005768,cellular_component,0,5,presynaptic endosome,GO:0098830,1,10
GO:0044300,7,cerebellar mossy fiber,"An axon arising from cerebellar projecting cells in the cochlea, vestibular nuclei, spinal cord, reticular formation, cerebellar nuclei and basilar pontine nuclei. Mossy fibers enter through all three cerebellar peduncles and send collaterals to the deep cerebellar nuclei, then branch in the white matter and terminate in the granule cell layer. Through this branching, a given mossy fiber can innervate several folia. Mossy fibers synapse on granule cells. The synaptic contacts are made at enlargements along the length of the mossy fiber called mossy fiber rosettes. The enlargements of the rosettes give the axons a mossy-looking appearance in Golgi stained preparations.",GO:0030424,cellular_component,2,558,no appropriate match,GO:0000000,0,10
